Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
AlL Forms Validation issues > New checklist,"Name  :
> 2 characters can be allowed
> All languages should be accepted
> Leading and trailing spaces (Accepted with trim spaces)
 City : 

> 2 characters can be allowed
> All languages should be accepted
> Leading and trailing spaces (Accepted with trim spaces)

![image](/uploads/886c322ae8dee45b96654acafe61dcbe/image.png){width=606 height=320}

![image](/uploads/fc09f18f46eb1848b47f55a050eb1f59/image.png){width=304 height=100}

![image](/uploads/b31deca59019bd044bc1c2b84791a606/image.png){width=267 height=106}

![image](/uploads/6b6b7312ab2b50050355ca8d5962e397/image.png){width=299 height=117}

Phone number :
> https://jam.dev/c/fec2678d-0305-409b-b0d7-e8eb30ac734d
Message :
> https://jam.dev/c/91b6b545-5994-4bc0-95fe-f3c766918615
> https://jam.dev/c/db8b3867-87c3-4728-ac36-e41e4e83266d
 Please do check all the criteria mentioned in the message fields",156,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/156,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 08:19:29,2025-05-09 08:50:20,,,,"After Live,Functional,P1,Status : New,Type : Bug",0,0
"Home > Testimonial > In  mobile , The video frame gets too lenghty when compared to desktop",https://jam.dev/c/c4e2aac3-5479-437d-9baf-738ed71ad12f,157,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/157,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 08:29:01,2025-05-09 08:40:06,,,,"After Live,HTML,P2,Responsive,Status : New,Type :  Correction",0,0
Home and about > LEEP /Messages> Text is not cut off in the last slide on mobile view,![image](/uploads/11845ab06e86106032740358cf33b8ac/image.png){width=265 height=349},158,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/158,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 08:39:49,2025-05-09 08:56:21,,,,"After Live,HTML,P1,Responsive,Status : New,Type :  Correction",0,0
"Home > Recent events > On mobile , The Lines overlap when sliding",![image](/uploads/a35ab86bc9326f0e3339a37a06b8a1ac/image.png){width=217 height=326},159,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/159,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 08:43:49,2025-05-09 08:43:49,,,,"After Live,HTML,P2,Responsive,Status : New,Type : Bug",0,0
Header > drop-down > Visibility Issues Occur Before Hovering Over Icons,![image](/uploads/6660d482dfda5883c6543fa816f25e40/image.png){width=593 height=293},160,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/160,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 08:59:29,2025-05-09 08:59:29,,,,"After Live,HTML,P1,Status : New,Type : Bug",0,0
Common > It would be better to remove the dots and place the arrows for better ux,https://jam.dev/c/21e5d9c0-ba60-447b-80f8-b6b7b3209130,161,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/161,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 09:18:39,2025-05-09 09:18:39,,,,"After Live,HTML,P2,Status : New,Type : Suggestion",0,0
Corporate Relationship /LEEP /Campus facilities> Side menu bar > Highlighting functionality is not working as expected on mobile view and desktop,"https://jam.dev/c/ee6781f5-104d-4b22-b624-36f408fc72f0

On desktop > there is a delay that occurs while switching the tabs

https://jam.dev/c/428174e2-23b5-4d9e-ac56-fa24be32f196

The selected tab is not being highlighted

https://jam.dev/c/94acc5d2-97b6-4de5-acb2-c701a8e7919c",162,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/162,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 10:01:07,2025-05-09 12:35:12,,,,"After Live,HTML,P3,Responsive,Status : New,Type : Bug",0,0
Admin mail > Admission /contact form > Specify as Admission /contact enquiry in the subject section for each mail,https://jam.dev/c/207c64f2-a3d7-4ee6-8b83-de287dd16950,163,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/163,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 11:17:08,2025-05-09 11:17:08,,,,"After Live,Functional,P1,Status : New,Type :  Correction",0,0
Header Menu and ham menu > Dropdown menu > Main menu and Submenus are Not Highlighted,"![image](/uploads/1ffdcf8adc9c8c821d2297e6db50854b/image.png){width=926 height=372}

![image](/uploads/a430a19fc16b6df49b9a28ed9ffba363/image.png){width=938 height=368}",164,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/164,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 11:28:28,2025-05-09 11:28:28,,,,"After Live,Dev Dependency,HTML,P3,Status : New,Type : Bug",0,0
Remove dummy content on live,"![image](/uploads/10ed6d501541c0215dc97df549e2c27b/image.png){width=959 height=484}

https://www.ciba.co.in/corporate-relationship",165,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/165,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 11:41:07,2025-05-09 11:41:07,,,,"After Live,Functional,P0,Status : New,Type :  Correction",0,0
Footer > Specialization > Missing hover effect,https://jam.dev/c/37f3b258-5e06-4b06-90af-8525038c99f6,166,https://gitlab.com/ManualProjects/php/cms-advanced/christ-institute/-/issues/166,Open,Aswathi Inter Smart,aswathi5,"","",No,No,,2025-05-09 12:32:28,2025-05-09 12:32:28,,,,"After Live,HTML,P0,Status : New,Type : Enhancement",0,0
